datetime,page,title,link,site,user,user_id,cat,text
2023-03-08T06:13:48Z,https://www.ozbargain.com.au/node/761271,"[eBook] The Essential Guide to Loving and Caring for Your Domestic Cat - Free Kindle Edition @ Amazon AU, UK, US",https://www.amazon.com.au/dp/B0BWMQBFJZ,https://www.amazon.com.au,Scrooge McDeal,416369,books-magazines,Free with Kindle. No Kindle unlimited needed. Amazon UK Amazon US The Essential Guide to Loving and Caring for Your Domestic Cat: Prolonging Its Life and Happiness - A Comprehensive and Complete …
2023-03-08T06:22:25Z,https://www.ozbargain.com.au/node/761271,"[eBook] The Essential Guide to Loving and Caring for Your Domestic Cat - Free Kindle Edition @ Amazon AU, UK, US",https://www.amazon.com.au/dp/B0BWMQBFJZ,https://www.amazon.com.au,Scrooge McDeal,416369,books-magazines,Free with Kindle. No Kindle unlimited needed. Amazon UK Amazon US The Essential Guide to Loving and Caring for Your Domestic Cat: Prolonging Its Life and Happiness - A Comprehensive and Complete …
2023-03-09T01:09:08Z,https://www.ozbargain.com.au/node/761428,"Acer Aspire 7 i5-1240P, 16GB DDR4, 512GB SSD, GTX1650 4GB, 15.6"" FHD IPS 144Hz $897 + Delivery ($0 C&C/In Store) @ Harvey Norman",https://www.harveynorman.com.au/acer-aspire-7-15-6-inch-i5-1240p-16gb-512gb-ssd-gtx1650-4gb-gaming-laptop.html,https://www.harveynorman.com.au,ChatGPT,24873,computing,"A715-51G-5698 NH.QGBSA.002 Intel Core i5-1240P processor (12 MB Smart Cache, 1.7 GHz with Turbo Boost up to 4.4 GHz, DDR4) 16 GB DDR4 3200MHz Memory 512GB PCIe NVMe SSD NVIDIA® GeForce® …"
2023-03-09T02:44:18Z,https://www.ozbargain.com.au/node/761454,Guinness Draught Can 440ml or Kilkenny Cans 440ml 6-Pack $12.80 ($50 Min Order) + Delivery ($0 C&C/ $250 Order) @ Coles Online,https://shop.coles.com.au/a/alexandria/specials/search/440ml?facet=mfName_ntk_cs%253A%2522Guinness%2522&facet=mfName_ntk_cs%253A%2522Kilkenny%2522&orderBy=PR&pageNumber=1&personaliseSort=false,https://shop.coles.com.au,nutcracker007,357872,alcohol,Guinness Draught Can 440mL 6pack Kilkenny Cans 440mL 6pack $60 Kilkenny Cans 440mL 24 pack $60 Guinness Draught Can 440mL 24 pack Original 20% off Deal post Credit Maltopia Tip Credit …
2023-03-10T01:08:57Z,https://www.ozbargain.com.au/node/760202,"[PC, Epic] Free - Call of The Sea @ Epic Games (10/3 - 17/3)",https://store.epicgames.com/en-US/p/call-of-the-sea,https://store.epicgames.com,dealbot,96859,gaming,"Freebie from Epic Games. As usual, available from 3am AEDT. This week - Rise of Industry."
2023-03-10T02:46:46Z,https://www.ozbargain.com.au/node/761635,Henn na Hotel Tokyo Nishikasai (Robot Hotel) - Double Room from $70/Night @ Booking.com,https://www.booking.com/hotel/jp/henn-na-tokyo-nishikasai.en-gb.html,https://www.booking.com,wisdomtooth,10235,travel,"For those who snapped those cheap Jetstar tickets to Tokyo (or from Virgin, or from that Filipino airline), I thought this was a great deal (especially with children! and especially with children who …"
2023-03-11T01:03:22Z,https://www.ozbargain.com.au/node/761828,"Bauhn 50"" 4K Ultra HD TV $429.00 @ ALDI",https://www.aldi.com.au/en/special-buys/special-buys-sat-18-march/saturday-detail-wk11/ps/p/bauhn-50-4k-ultra-hd-tv-powered-by-tizentm/,https://www.aldi.com.au,WatchNerd,57529,electrical-electronics,"Bauhn 50"" 4K Ultra HD TV powered by Tizen™ Resolution: 3840 x 2160 Built-in speaker USB media playback Ports include 1 x RF (antenna), 3 x HDMI, 1 x audio, 2 x USB, 1 x LAN, 1 x optical and …"
2023-03-11T02:12:25Z,https://www.ozbargain.com.au/node/761842,"[PC, macOS, Epic] FTL: Faster Than Light $1.99 @ Epic Games",https://store.epicgames.com/en-US/p/faster-than-light?epic_affiliate=ggdeals&epic_gameId=f7dc1618d0bd4810a61f50d44333900e,https://store.epicgames.com,apoptygma,80152,gaming,"This ""spaceship simulation roguelike-like"" allows you to take your ship and crew on an adventure through a randomly generated galaxy filled with glory and bitter defeat. Give orders to your …"
2023-03-12T01:08:27Z,https://www.ozbargain.com.au/node/762002,[NSW] Free: Organic Kombucha (Raspberry Lemonade & Mango Passion & Ginger Lemon) @ Parramatta Station (Near Woolies Metro),https://files.ozbargain.com.au/upload/280217/102274/7e9da8bc-afb3-40a9-a03a-373ab0e5a410.jpeg,https://files.ozbargain.com.au,I Smell Pennies,280217,groceries,FREE FREE FREE FREE FREE Here with @bargainsgrabber in Parramatta grabbing them all
2023-03-12T02:37:32Z,https://www.ozbargain.com.au/node/762027,FALHOLMEN Outdoor Table + 4 Chairs with Armrests $229 (Was $409) + Delivery ($5 C&C) @ IKEA,https://www.ikea.com/au/en/p/falholmen-table-4-chairs-w-armrests-outdoor-light-brown-stained-s99217859/#content,https://www.ikea.com,ozvictor,74368,home-garden,"Seems like a good price for an outdoor table set. IKEA members can save $10 using code: QREW$6hxX+ ($50 minimum spend) You can also buy the chair seperately for $35 each, but the chair is not …"
